N0;Name;Chronology;Type;utmx;utmy;ALTA;ALTM;TPI100;TPI100m;TPI500;TPI500m;TPI1000;TPI1000m;ALTrA;ALTrB;SLO;SLOm;SLOga;SLOt;SLOst;SLOpi;INCr45-15;ASP;ASPm;HYDROE;HYDROEm;HYDROC;HYDROCm;HYDROV;WET;WETm;WETv;GEOLE;GEOLEm;GEOLC;GEOLCm;GEOLV;CPFPCGs;CPFPCDs;CPFPCGc;CPFPCDc;VISC;VISZ;VISPR;VISPRm;LCPC;LCPCm;TOTINS;TOTINSm;DIRINS;DIRINSm;DIFINS;DIFINSm;WIND;WINDm
23;O Xesto;Epipalaeolithic;Open-air;619125,26;4819014,55;666;665;-1,5333;-1,9222;-2,102;-1,89795;-1,5714;-1,89795;0,959654179;1,088235294;7,35253;7,03575;12,34939759;11,2;11,2;0,148148148;7,953157842;215,538;206,994;1221,93;1229,23;4202,131459;4218,762349;3537,058987;500,51;493,19;306,415595;1559,85;1571,97;5110,753055;5106,304544;24240,94439;142910,5715;18293055,57;2312,962049;0;6833156,28;5840024,764;8;8;76,001;75,7394442;4,8296;4,82732;3,9198;3,91756;0,9098;0,909759;0,9502;0,948436
24;Pedra Chantada;Magdalenian;Open-air;619267,26;4820233,56;645;641;-1,8889;3,94445;1,3061;4,3061;1,3061;4,3061;0,944363104;1,164259928;24,4877;23,3085;19,9381762;7,117437722;28,46975089;0,600600601;8,961350937;72,7585;72,1642;443,001;432,691;2063,595814;2012,605039;27029,13897;1299,75;1318,48;227,981009;2708,55;2716,47;8681,484012;8661,135505;0;154104,927;19298701,51;290,0526225;0;4612434,261;4807439,51;3;3;191,8115832;162,8869208;3,5806;3,5968;2,719;2,72869;0,8615;0,86807;1,0448;0,997121
25;Pena Grande;Azilian;Shelter;602365,27;4801774,90;558;561;8,9778;6,4722;8,7551;6,88775;9,6939;6,88775;0,953846154;1,145790554;22,1494;19,1874;12,25;1,786352269;16,07717042;1,573426573;7,877313391;242,176;239,761;1776,58;1783,49;5920,35855;5966,273306;732495,8061;756,84;779,9;735961,3663;1820,89;1811,31;5797,06733;5849,533312;3902558,856;0;22465994,78;17625,40915;0;24575788,68;28141846,68;32;37;380,5844726;395,6705082;4,928;4,92585;4,0725;4,0613;0,8555;0,864546;1,2219;1,2335
26;Pena Vella;Epipalaeolithic;Shelter;620240,28;4810726,47;755;755;1,2444;2,16112;2,0612;2,39285;2,0612;2,39285;0,994729908;1,142208775;4,88349;4,17001;14,98470948;0,587484036;15,86206897;3,562005277;8,205973389;159,444;151,864;711,512;721,848;2796,587702;2826,970045;93215,35207;1445,16;1425,4;20388,62182;0;0;0;0;10625272,16;24466,41542;21145505,64;2630,447634;0;25807087,13;22301548,05;50;52;143,151123;127,5592834;4,7937;4,72333;3,868;3,79736;0,9256;0,925925;1,1588;1,16809
27;Prado do Inferno 1;Azilian;Shelter;602982,10;4812633,46;512;507;10,7111;3,76665;3,2857;3,92858;9,6939;3,92858;0,919210054;1,094017094;23,6976;25,2513;24,58563536;21,875;21,875;0,189035917;9,343694508;227,77;225,433;70,7107;63,9147;464,2191447;415,4353454;29453,36408;1105,97;1090,29;2978,408126;2980,98;2975,79;9146,771715;9152,118975;4858,137116;90260,55675;16051418,46;368,0548225;0;1209670,227;1098336,471;9;7;291;247,6676237;5,1883;5,26215;4,3369;4,41836;0,8514;0,843813;1,1743;1,13928
28;Taller de A Veiga;Lower-Middle Magdalenian;Open-air;603467,13;4798669,33;451;451;-0,8667;-0,733325;-1,1837;-0,841825;-1,1837;-0,841825;0,939583333;1,03440367;0;0,0679878;7,457627119;0,680272109;9,523809524;3,010752688;10,33133057;-1;11,3364;292,617;299,839;1046,830109;1064,162445;710879,7606;0;6,33;1040388,975;0;0;0;0;4496286,237;0;19679360,4;25918,29886;0;15029146,85;11975436,8;35;33;245,4381311;248,3110662;4,3425;4,34808;3,4629;3,46848;0,8796;0,879594;0,9401;0,936481
29;Taller de Pineiro;Lower-Middle Magdalenian;Open-air;603447,13;4798982,33;454;453;0,3778;0,25;0,2653;0,41325;0,2653;0,41325;0,97008547;1,038901602;2,71574;2,38193;4,335664336;0,184263866;4,975124378;5,856832972;8,859924165;251,565;258,693;182,003;174,406;645,2521533;616,8349068;793481,6867;158,05;148,59;1153172,028;0;0;0;0;4765050,795;0;20149627,96;24944,29846;0;16743098,4;20941878,09;41;40;41,0002;64,93517278;4,4306;4,36863;3,551;3,48901;0,8796;0,879574;0,9534;0,947907
30;Taller de Trastoi;Lower-Middle Magdalenian;Open-air;605487,15;4799022,33;483;483;-0,8889;-0,7778;-1,0408;-0,7704;-1,0408;-0,7704;0,964071856;1,052287582;3,83777;3,91661;5,714285714;0,56056544;6,166219839;2,226720648;8,782458691;116,565;123,225;770,146;770,327;2526,346166;2533,539403;13104,74548;210,05;216,11;150493,9275;175;170,267;529,0002;544,0685525;3018339,795;0;21181518,82;24610,34788;0;20981471,57;20760301,77;29;29;335,3960558;347,1082135;4,4348;4,47609;3,5513;3,59267;0,8836;0,883504;0,8374;0,837557
31;Valdoinferno 1;Epipalaeolithic;Shelter;622571,30;4809796,46;658;657;5,6;6,76113;7,4286;6,90308;7,4286;6,90308;0,94269341;1,068181818;16,3891;16,8243;14,6953405;16,33802817;16,33802817;0,147928994;8,169734259;144,689;126,99;1185,85;1198,73;3821,895661;3852,857281;775,337017;681,98;642,19;10203,5877;604,669;598,558;2042,233289;2052,929414;3170682,53;31068,8843;18734433,32;1641,374291;0;8137077,873;8424964,87;14;13;210,9627062;189,6469377;5,38;5,07503;4,4871;4,18326;0,8929;0,891768;0,8091;0,810448
32;Xestido I;Epipalaeolithic;Shelter;621341,29;4809705,46;615;613;0,8222;0,85;2,6531;0,530625;0,7959;0,530625;0,923423423;1,021594684;2,71574;4,62946;19,04761905;0,200755786;14,65517241;11,37071651;9,40344312;251,565;223,198;300;287,695;1106,494112;1085,47798;0;569,11;537,75;839,987592;0;0;0;0;359210,976;15720,13239;18277710,28;1340,930898;0;729209,9484;766215,0019;0;0;249,4329495;245,8327228;4,4712;4,66614;3,5673;3,76377;0,9039;0,902393;0,7959;0,79429
33;Xestido II;Epipalaeolithic;Shelter;621289,29;4809727,46;611;611;-2,2889;-3,32223;-2,2041;-3,54082;-2,2041;-3,54082;0,916041979;1,014950166;9,66441;6,75936;17,1957672;0,595813205;16,08695652;4,186046512;10,96076501;86,6335;121,022;300;309,695;1130,014617;1157,609554;0;758,25;730,86;96,715997;0;0;0;0;227545,2259;77189,04184;17930979,02;1276,245904;0;545677,529;439502,9335;0;0;269,9573219;271,923573;4,4227;4,5001;3,5276;3,60129;0,8951;0,89882;0,7741;0,776345
34;Xestido III;Epipalaeolithic;Open-air;621457,29;4809506,46;608;608;-2,8;-2,78332;-0,6327;-2,9439;-2,6735;-2,9439;0,925418569;1,009966777;2,46287;3,36826;18,21192053;0,389917839;16,76646707;6,814580032;10,21309302;305,538;271,691;103,078;91,9751;497,3072711;451,5371037;8808,985544;639,36;644,23;1109,209295;0;0;0;0;244162,2185;15720,13239;18050938,23;1297,717545;0;1175151,154;632999,1281;2;3;247,0453226;201,4601207;4,1899;4,24942;3,287;3,34727;0,903;0,902202;0,791;0,793179
