N0;Name;Chronology;Type;utmx;utmy;ALTA;ALTm;TPI100;TPI100m;TPI500;TPI500m;TPI1000;TPI1000m;ALTrA;ALTrB;SLO;SLOm;SLOga;SLOt;SLOst;SLOpi;INCr45-15;ASP;ASPm;HYDROE;HYDROEm;HYDROC;HYDROCm;HYDROV;WET;WETm;WETv;GEOLE;GEOLEm;GEOLC;GEOLCm;GEOLV;CPFPCGs;CPFPCDs;CPFPCGc;CPFPCDc;VISC;VISZ;VISPR;VISPRm;LCPC;LCPCm;TOTINS;TOTINSm;DIRINS;DIRINSm;DIFINS;DIFINSm;WIND;WINDm
21;130.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;582001,9603;4761508,902;754;755;3,42;1,98;3,47;2,14;3,47;2,14;0,989501312;1,089595376;6,90135;5,67978;12,89134438;10,65292096;0,66580756;2,099737533;8,864560278;321,71;308,404;1275,98;1285,97;80,11714952;80,70605505;58,23878189;33,31516667;33,09283333;22,31504271;8776,28;8777,64;447,0367842;446,9742697;49,89581539;0;2317,841829;173,3205715;0;2490,856472;2586,18831;27;29;2,202515383;2,151215938;3,9545;4,10346;3,0312;3,17895;0,9233;0,924506;1,3099;1,30996
22;131.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;581926,9002;4761433,842;750;749;0,2;-0,13;0,39;-0,12;0,39;-0,12;0,984251969;1,047486034;4,99861;5,0393;11,73469388;9,440559441;0,337162837;3,679369251;8,942494186;210,964;212,087;1261,2;1271,79;79,00353562;79,44054563;0,039325204;28,24216667;27,73883333;0,860825226;8852,86;8854,19;448,6255833;448,2599077;45,65556915;0;2321,616812;156,5287834;0;1100,61375;1090,929841;8;8;0,650006667;0,383828131;4,7897;4,78089;3,8652;3,85667;0,9246;0,924257;1,2698;1,26235
23;132.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;582131,6474;4760605,679;727;726;6,27;3,99;6,37;4,41;6,37;4,41;0,990463215;1,069117647;11,5347;9,89441;14,59459459;16,73819742;0,452383714;5,040871935;8,622232742;300,964;311,162;1084,55;1089,74;58,32472762;58,85067052;0;10,49383333;10,22166667;2,291321649;8693,86;8692,11;432,6033517;432,2426478;0;0,915531554;1598,290091;21,59062058;0;132,0662257;149,3864256;5;6;1,016666667;0,87709164;3,9105;3,86877;2,9973;2,95376;0,9132;0,91503;1,271;1,26733
24;133.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;581824,9592;4760804,157;724;724;-1,47;-1,24;-1,31;-1,32;-1,31;-1,32;0,97311828;1,031339031;2,46287;2,35921;8,4;8,540925267;0,149840794;7,776261937;10,10512768;144,462;151,218;1275;1283,21;68,29922438;68,62119067;0;7,801833333;7,826;0;8990,27;8993,23;448,3556868;448,1786468;0;0;2186,48324;122,483759;0;732,3240612;165,228737;1;1;3,183343333;3,171266047;4,6109;4,61111;3,6892;3,68933;0,9217;0,921773;1,1816;1,18409
25;135.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;581795,3059;4760365,288;725;724;0,2;-0,2;0,16;-0,19;0,16;-0,19;0,978407557;1,058394161;3,16105;2,99408;6,913580247;8,280254777;0,376375217;3,001364256;8,096274878;275,194;275,779;850;844,337;46,63859892;46,38913517;0;18,64083333;18,46116667;0,017945262;8977,09;8984;446,9346245;447,0935227;0,973787119;0;2232,514246;177,4742793;0;4282,369965;5101,75113;7;7;1,602515384;1,768796362;4,427;4,4066;3,5054;3,48501;0,9215;0,921512;1,1662;1,16515
26;135.2;Upper Palaeolithic/ Epipalaeolithic;Open-air;581735,9992;4760359,357;723;722;-0,33;-1,21;-0,39;-1,24;-0,39;-1,24;0,975708502;1,060117302;2,56064;3,11999;6,916764361;9,440559441;9,440559441;0,136798906;8,311592735;243,435;244,797;850,368;839,326;46,33305762;45,60505242;0;16,17416667;15,47533333;0,002912511;9047,55;9041,76;449,1346312;449,7273035;0;0;2206,472687;148,3035052;0;512,1065941;311,2526144;7;7;1,01351972;1,146565239;4,5203;4,49897;3,5987;3,57774;0,9216;0,921248;1,117;1,10608
27;136.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;581780,4792;4760133,991;713;711;-0,78;0,43;-0,04;0,46;-0,04;0,46;0,97271487;1,051622419;5,73889;5,4507;7,971014493;12,15805471;12,15805471;0,137551582;8,311094306;174,289;163,484;625;613,041;35,40060133;34,67478888;1,511408806;15,52216667;14,79766667;0,478208883;8967,72;8967,08;448,8968482;448,3279215;2,331523813;0;2224,891987;138,2586933;0;1094,469496;580,5313102;17;16;3,850003333;3,963748465;4,8628;4,83159;3,9447;3,91379;0,9181;0,917785;1,1054;1,0783
28;141.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;583935,7351;4762166,177;702;702;-1,02;-1,23;-1,45;-1,28;-1,45;-1,28;0,979079498;1,050898204;1,28096;1,69395;9,760956175;9,61038961;9,61038961;0,139664804;8,860794541;26,5651;11,5937;1102,55;1114,75;61,49709317;62,01863897;0;11,11666667;10,541;2,055950491;6856,57;6849,03;347,9217765;348,4532042;0;0;2330,118467;159,0375023;0;737,7328723;754,5840105;21;20;0,716666667;1,00875252;4,3328;4,29694;3,4144;3,37859;0,9185;0,918405;1,2131;1,2166
29;144.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;582144,5744;4761739,086;759;758;3,27;2,21;3,16;2,48;3,16;2,48;0,996062992;1,108029197;5,38932;5,14153;14,44652908;11,39705882;0,438348416;3,412073491;8,505747812;327,995;322,699;1300;1299,34;83,02888288;82,92442557;68,44019839;46,29283333;45,93366667;30,37135814;8625;8633,91;439,207937;439,3142227;2,380580993;0;2232,114842;139,6399522;0;762,8603168;210,485608;47;45;6,816666667;6,74606961;4,0625;4,11055;3,1369;3,18468;0,9256;0,925863;1,3136;1,31241
30;144.2;Upper Palaeolithic/ Epipalaeolithic;Shelter;582655,5645;4759646,564;649;649;-4,49;-5,63;-4,22;-6,08;-4,22;-6,08;0,939218524;1,010903427;5,49363;6,84971;9,477756286;15,70680628;0,461964891;5,029585799;12,04764966;152,103;169,962;35,3553;40,1596;5,342581165;5,272747067;2,547346145;10,87183333;10,48533333;0;8049,3;8047,1;406,0410558;405,5575728;0;0;2032,726291;138,5303238;0;1488,497902;315,122108;0;0;4,488513053;3,749376138;4,5533;4,7242;3,6443;3,81753;0,909;0,906668;0,9233;0,932775
