Type;ALTm;TPI100m;TPI500m;TPI1000m;SLOm;ASPm;HYDROEm;HYDROCm;WETm;GEOLEm;GEOLCm;VISPRm;LCPCm;TOTINSm;DIRINSm;DIFINSm;WINDm
Random sites;426;1,602729606;6,966683427;7,799621212;7,30142;91,4404;360,355;22,04898973;14,75058049;2583,26;120,0583875;30;0,534222874;4,315741617;3,443807251;0,871951304;0,939816262
Random sites;434;-0,016500173;-0,613761097;-4,913383878;5,33716;211,088;332,16;21,13480735;10,9813947;6325,69;309,5848693;37;0,775060124;4,674476999;3,799491955;0,875040655;0,81630929
Random sites;706;2,293770822;4,560078538;8,641976506;10,0906;285,112;1129,32;65,18040373;7,212139403;4024,59;205,3199613;22;0,767313747;3,617682092;2,705251917;0,912385063;1,027848884
Random sites;620;-0,102473102;-6,049737522;2,225946295;5,62421;273,552;728,1;41,00720048;46,38600865;8887,01;438,4003225;23;1,367547144;4,332782774;3,429303748;0,903488921;1,148559755
Random sites;451;2,356100461;1,641416077;-5,571012358;13,7064;202,744;538,753;33,84651077;37,53062388;3980,69;203,9807553;11;0,688631143;5,187911472;4,322940832;0,86497064;1,142201518
Random sites;549;1,707955874;16,35283755;11,06884815;11,1799;262,62;147,552;11,74487779;29,10739747;200,702;13,37112697;14;0,944615953;4,457315173;3,571252439;0,886062734;1,055639326
Random sites;537;-1,324941414;-4,094821664;-9,120972257;9,1746;175,055;889,714;49,85415008;17,00137032;9257,7;466,4031908;8;0,519959221;3,52820029;2,642197597;0,886002693;1,234273878
Random sites;348;1,761855463;-12,74296116;-26,70932587;11,7775;245,618;106,169;26,00835028;25,84198627;5203,71;253,3981975;11;1,920492435;4,610975877;3,7568415;0,854134378;0,937399531
Random sites;545;4,095072511;16,79864858;25,87195751;8,89706;280,034;1677,42;91,33440942;9,120723273;1780,22;114,897198;45;2,512953253;4,172248292;3,284368909;0,887891872;1,259061476
Random sites;517;-0,62130907;14,29177099;28,93842159;2,45554;112,577;761,894;50,07369988;14,55105703;2428,71;123,0986677;8;0,684264747;4,43056979;3,54138025;0,88918954;1,203186957
Random sites;424;-0,267384619;10,25715784;3,425159906;12,455;292,526;406,715;25,47398327;24,73350897;8751,39;438,6310052;23;2,043312615;3,89310679;3,027178963;0,865845965;1,157939265
Random sites;734;-1,667059767;14,13756109;26,72927133;15,9422;246,15;1959,42;115,5279688;82,75020027;7438,56;385,033858;35;1,436147777;4,80611158;3,9002534;0,905858181;1,253348338
Random sites;307;-2,407651155;7,55988953;2,820453154;13,0469;329,618;271,648;18,85952925;37,10540127;6656,45;316,8454667;10;0,836490779;3,238716592;2,392842215;0,845874377;1,139398881
Random sites;639;-0,601735408;0,879036274;-1,609249238;7,91289;153,316;316,952;20,5272431;25,17594398;6146,38;306,3871697;27;1,05867097;4,930324888;4,026452321;0,903872566;0,924983628
Random sites;339;0,331969471;-8,026391535;-31,38321597;2,26107;31,4328;176,455;25,24190978;2,39223239;5237,82;253,9417755;14;2,464079527;4,158560368;3,295994302;0,862588138;0,804971283
Random sites;472;-0,821026277;2,480313991;8,068066465;2,20078;70,3627;811,259;45,62292785;3,010196037;5061,6;248,4169657;21;1,57048409;4,256445152;3,374106736;0,882338416;0,902968912
Random sites;582;-1,547357287;1,134161382;12,01705683;6,30335;56,9105;589,141;31,88557815;11,17162991;2006,73;102,1908827;29;0,870878201;4,077055971;3,180142384;0,896967326;0,861464993
Random sites;351;0,081697521;6,303255115;12,67262712;7,00206;108,986;779,842;45,45757263;30,14766887;4854,66;222,7193238;25;1,606546218;4,450975006;3,589550826;0,861410992;0,87029003
Random sites;478;0,752971043;7,409980618;20,38396916;2,42497;184,779;1660,13;95,25117317;11,55803149;12038,4;599,4031335;45;0,733943151;4,553428868;3,670302607;0,883126261;1,058238133
